state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
US,Gender,24537,Male,48%,41%,53%,6%
US,Gender,24537,Female,52%,54%,42%,4%
US,Age,24537,18-29,19%,55%,37%,8%
US,Age,24537,30-44,25%,50%,42%,8%
US,Age,24537,45-64,40%,44%,53%,3%
US,Age,24537,65 and older,15%,45%,53%,2%
US,Age,24537,18-24,10%,56%,35%,9%
US,Age,24537,25-29,9%,53%,39%,8%
US,Age,24537,30-39,17%,51%,40%,9%
US,Age,24537,40-49,19%,46%,50%,4%
US,Age,24537,50-64,30%,44%,53%,3%
US,Age,24537,65 and older,15%,45%,53%,2%
US,Age,24537,18-44,44%,52%,40%,8%
US,Age,24537,45 and older,56%,44%,53%,3%
US,Race,24537,White,70%,37%,58%,5%
US,Race,24537,Black,12%,88%,8%,4%
US,Race,24537,Latino,11%,65%,29%,6%
US,Race,24537,Asian,4%,65%,29%,6%
US,Race,24537,Other race,3%,56%,37%,7%
US,Race,24537,White,70%,37%,58%,5%
US,Race,24537,Non-white,30%,74%,21%,5%
US,Race and gender,24537,White men,34%,31%,63%,6%
US,Race and gender,24537,White women,37%,43%,53%,4%
US,Race and gender,24537,Black men,5%,80%,13%,7%
US,Race and gender,24537,Black women,7%,94%,4%,2%
US,Race and gender,24537,Latino men,5%,62%,33%,5%
US,Race and gender,24537,Latino women,6%,68%,26%,6%
US,Race and gender,24537,Others,6%,61%,32%,7%
US,Age by race,24537,Whites 18-29,12%,43%,48%,9%
US,Age by race,24537,Latinos 30-44,3%,71%,22%,7%
US,Age by race,24537,Latinos 45-64,3%,67%,29%,4%
US,Age by race,24537,Latinos 65 and older,1%,71%,24%,5%
US,Age by race,24537,All others,6%,60%,34%,6%
US,Age by race,24537,Whites 30-44,17%,37%,55%,8%
US,Age by race,24537,Whites 45-64,30%,34%,63%,3%
US,Age by race,24537,Whites 65 and older,13%,39%,58%,3%
US,Age by race,24537,Blacks 18-29,3%,83%,9%,8%
US,Age by race,24537,Blacks 30-44,4%,87%,7%,6%
US,Age by race,24537,Blacks 45-64,5%,90%,9%,1%
US,Age by race,24537,Blacks 65 and older,1%,90%,9%,1%
US,Age by race,24537,Latinos 18-29,2%,70%,24%,6%
US,Education,24537,High school or less,18%,45%,51%,4%
US,Education,24537,Some college,32%,43%,52%,5%
US,Education,24537,College graduate,32%,49%,45%,6%
US,Education,24537,Postgraduate,18%,58%,37%,5%
US,Are you a college graduate?,24537,Yes,50%,52%,43%,5%
US,Are you a college graduate?,24537,No,50%,44%,52%,4%
US,Education and race,24537,White college graduates,37%,45%,49%,6%
US,Education and race,24537,Whites no degree,34%,28%,67%,5%
US,Education and race,24537,Non-whites college grads,13%,71%,23%,6%
US,Education and race,24537,Non-whites no degree,16%,75%,20%,5%
US,Education among whites by sex,24537,White college-grad women,20%,51%,45%,4%
US,Education among whites by sex,24537,White non-college women,17%,34%,62%,4%
US,Education among whites by sex,24537,White college-grad men,17%,39%,54%,7%
US,Education among whites by sex,24537,White non-college men,17%,23%,72%,5%
US,Education among whites by sex,24537,Non-whites,29%,74%,21%,5%
US,Income,24537,"Under $30,000",17%,53%,41%,6%
US,Income,24537,"$30K-$49,999",19%,51%,42%,7%
US,Income,24537,"$50K-$99,999",31%,46%,50%,4%
US,Income,24537,"$100K-$199,999",24%,47%,48%,5%
US,Income,24537,"$200K-$249,999",4%,48%,49%,3%
US,Income,24537,"$250,000 or more",6%,46%,48%,6%
US,Income,24537,Under $50K,36%,52%,41%,7%
US,Income,24537,$50K or more,64%,47%,49%,4%
US,Income,24537,Under $100K,67%,49%,45%,6%
US,Income,24537,$100K or more,33%,47%,48%,5%
US,Income,24537,Under $50K,36%,52%,41%,7%
US,Income,24537,$50K-$100K,31%,46%,50%,4%
US,Income,24537,$100K or more,33%,47%,48%,5%
US,Party ID,24537,Democrats,37%,89%,9%,2%
US,Party ID,24537,Republicans,33%,7%,90%,3%
US,Party ID,24537,Independents,31%,42%,48%,10%
US,Party by gender,24537,Democratic men,14%,87%,10%,3%
US,Party by gender,24537,Democratic women,23%,90%,8%,2%
US,Party by gender,24537,Republican men,17%,6%,90%,4%
US,Party by gender,24537,Republican women,16%,8%,89%,3%
US,Party by gender,24537,Independent men,17%,37%,51%,12%
US,Party by gender,24537,Independent women,14%,47%,43%,10%
US,Ideology,24537,Liberal,26%,84%,10%,6%
US,Ideology,24537,Moderate,39%,52%,41%,7%
US,Ideology,24537,Conservative,35%,15%,81%,4%
US,Marital status,24537,Married,58%,43%,53%,4%
US,Marital status,24537,Unmarried,42%,55%,38%,7%
US,Marital status by gender,24537,Married men,29%,37%,58%,5%
US,Marital status by gender,24537,Married women,30%,49%,47%,4%
